id,key,value
OA-32,uafId,OA-32
OA-32,uafKind,OperationalActivity
OA-33,uafId,OA-33
OA-33,uafKind,OperationalActivity
OA-34,uafId,OA-34
OA-34,uafKind,OperationalActivity
OA-35,uafId,OA-35
OA-35,uafKind,OperationalActivity
OA-36,uafId,OA-36
OA-36,uafKind,OperationalActivity
SV-01,uafId,SV-01
SV-01,uafKind,ServiceInterface
SV-01,registry.code,gungnir_tracking_service::TrackingService
SV-01,registry.status,scaffold
SV-02,uafId,SV-02
SV-02,uafKind,ServiceInterface
SV-02,registry.code,gungnir_intercept_service::InterceptService
SV-02,registry.status,scaffold
SV-03,uafId,SV-03
SV-03,uafKind,ServiceInterface
SV-03,registry.code,gungnir_eventing::EventBus
SV-03,registry.status,real
SV-04,uafId,SV-04
SV-04,uafKind,ServiceInterface
SV-04,registry.code,gungnir_store::EventJournal
SV-04,registry.status,real
SV-05,uafId,SV-05
SV-05,uafKind,ServiceInterface
SV-05,registry.code,gungnir_time::TimeAuthority
SV-05,registry.status,real
SV-06,uafId,SV-06
SV-06,uafKind,ServiceInterface
SV-06,registry.code,gungnir_config::ConfigStore
SV-06,registry.status,real
SV-07,uafId,SV-07
SV-07,uafKind,ServiceInterface
SV-07,registry.code,gungnir_mission::MissionManager
SV-07,registry.status,scaffold
SV-08,uafId,SV-08
SV-08,uafKind,ServiceInterface
SV-08,registry.code,gungnir_ingest::ProtocolAdapter
SV-08,registry.status,real
SV-09,uafId,SV-09
SV-09,uafKind,ServiceInterface
SV-09,registry.code,gungnir_sensor_management::SensorRegistry
SV-09,registry.status,real
SV-10,uafId,SV-10
SV-10,uafKind,ServiceInterface
SV-10,registry.code,gungnir_interop::DetectionCodec
SV-10,registry.status,scaffold
SV-11,uafId,SV-11
SV-11,uafKind,ServiceInterface
SV-11,registry.code,gungnir_identity::IdentityResolver
SV-11,registry.status,real
SV-12,uafId,SV-12
SV-12,uafKind,ServiceInterface
SV-12,registry.code,gungnir_identification::IdentificationEngine
SV-12,registry.status,real
SV-13,uafId,SV-13
SV-13,uafKind,ServiceInterface
SV-13,registry.code,gungnir_geo::GeoService
SV-13,registry.status,real
SV-14,uafId,SV-14
SV-14,uafKind,ServiceInterface
SV-14,registry.code,gungnir_analytics::LineOfSight
SV-14,registry.status,real
SV-15,uafId,SV-15
SV-15,uafKind,ServiceInterface
SV-15,registry.code,gungnir_policy::PolicyEngine
SV-15,registry.status,real
SV-16,uafId,SV-16
SV-16,uafKind,ServiceInterface
SV-16,registry.code,gungnir_command::ApprovalWorkflow
SV-16,registry.status,real
SV-17,uafId,SV-17
SV-17,uafKind,ServiceInterface
SV-17,registry.code,gungnir_assessment::ThreatAssessor
SV-17,registry.status,real
SV-18,uafId,SV-18
SV-18,uafKind,ServiceInterface
SV-18,registry.code,gungnir_decision::DecisionSupport
SV-18,registry.status,scaffold
SV-19,uafId,SV-19
SV-19,uafKind,ServiceInterface
SV-19,registry.code,gungnir_modelops::ModelRegistry
SV-19,registry.status,real
SV-20,uafId,SV-20
SV-20,uafKind,ServiceInterface
