rel_id,kind,stereotype,from_id,to_id,name,ea_type
REL:exhibits:OP-31->CAP-5.9,exhibits,Exhibits,OP-31,CAP-5.9,exhibits: OP-31 -> CAP-5.9,Abstraction
REL:exhibits:OP-31->CAP-7.3,exhibits,Exhibits,OP-31,CAP-7.3,exhibits: OP-31 -> CAP-7.3,Abstraction
REL:exhibits:OP-32->CAP-5.1,exhibits,Exhibits,OP-32,CAP-5.1,exhibits: OP-32 -> CAP-5.1,Abstraction
REL:exhibits:OP-32->CAP-5.4,exhibits,Exhibits,OP-32,CAP-5.4,exhibits: OP-32 -> CAP-5.4,Abstraction
REL:exhibits:OP-32->CAP-6.1,exhibits,Exhibits,OP-32,CAP-6.1,exhibits: OP-32 -> CAP-6.1,Abstraction
REL:exhibits:OP-32->CAP-6.4,exhibits,Exhibits,OP-32,CAP-6.4,exhibits: OP-32 -> CAP-6.4,Abstraction
REL:exhibits:OP-32->CAP-7.1,exhibits,Exhibits,OP-32,CAP-7.1,exhibits: OP-32 -> CAP-7.1,Abstraction
REL:exhibits:OP-32->CAP-7.3,exhibits,Exhibits,OP-32,CAP-7.3,exhibits: OP-32 -> CAP-7.3,Abstraction
REL:exhibits:OP-32->CAP-7.4,exhibits,Exhibits,OP-32,CAP-7.4,exhibits: OP-32 -> CAP-7.4,Abstraction
REL:exhibits:OP-33->CAP-1.1,exhibits,Exhibits,OP-33,CAP-1.1,exhibits: OP-33 -> CAP-1.1,Abstraction
REL:exhibits:OP-33->CAP-1.7,exhibits,Exhibits,OP-33,CAP-1.7,exhibits: OP-33 -> CAP-1.7,Abstraction
REL:exhibits:OP-34->CAP-4.4,exhibits,Exhibits,OP-34,CAP-4.4,exhibits: OP-34 -> CAP-4.4,Abstraction
REL:achieves:OA-01->CAP-1.1,achieves,Achieves,OA-01,CAP-1.1,achieves: OA-01 -> CAP-1.1,Abstraction
REL:achieves:OA-01->CAP-1.2,achieves,Achieves,OA-01,CAP-1.2,achieves: OA-01 -> CAP-1.2,Abstraction
REL:achieves:OA-01->CAP-1.5,achieves,Achieves,OA-01,CAP-1.5,achieves: OA-01 -> CAP-1.5,Abstraction
REL:achieves:OA-01->CAP-6.7,achieves,Achieves,OA-01,CAP-6.7,achieves: OA-01 -> CAP-6.7,Abstraction
REL:achieves:OA-02->CAP-2.1,achieves,Achieves,OA-02,CAP-2.1,achieves: OA-02 -> CAP-2.1,Abstraction
REL:achieves:OA-02->CAP-2.2,achieves,Achieves,OA-02,CAP-2.2,achieves: OA-02 -> CAP-2.2,Abstraction
REL:achieves:OA-02->CAP-2.3,achieves,Achieves,OA-02,CAP-2.3,achieves: OA-02 -> CAP-2.3,Abstraction
REL:achieves:OA-02->CAP-2.4,achieves,Achieves,OA-02,CAP-2.4,achieves: OA-02 -> CAP-2.4,Abstraction
REL:achieves:OA-02->CAP-2.5,achieves,Achieves,OA-02,CAP-2.5,achieves: OA-02 -> CAP-2.5,Abstraction
REL:achieves:OA-03->CAP-2.6,achieves,Achieves,OA-03,CAP-2.6,achieves: OA-03 -> CAP-2.6,Abstraction
REL:achieves:OA-04->CAP-2.8,achieves,Achieves,OA-04,CAP-2.8,achieves: OA-04 -> CAP-2.8,Abstraction
REL:achieves:OA-04->CAP-3.2,achieves,Achieves,OA-04,CAP-3.2,achieves: OA-04 -> CAP-3.2,Abstraction
REL:achieves:OA-05->CAP-3.3,achieves,Achieves,OA-05,CAP-3.3,achieves: OA-05 -> CAP-3.3,Abstraction
REL:achieves:OA-05->CAP-3.4,achieves,Achieves,OA-05,CAP-3.4,achieves: OA-05 -> CAP-3.4,Abstraction
REL:achieves:OA-05->CAP-3.5,achieves,Achieves,OA-05,CAP-3.5,achieves: OA-05 -> CAP-3.5,Abstraction
REL:achieves:OA-06->CAP-3.6,achieves,Achieves,OA-06,CAP-3.6,achieves: OA-06 -> CAP-3.6,Abstraction
REL:achieves:OA-06->CAP-4.3,achieves,Achieves,OA-06,CAP-4.3,achieves: OA-06 -> CAP-4.3,Abstraction
REL:achieves:OA-07->CAP-4.1,achieves,Achieves,OA-07,CAP-4.1,achieves: OA-07 -> CAP-4.1,Abstraction
REL:achieves:OA-07->CAP-4.2,achieves,Achieves,OA-07,CAP-4.2,achieves: OA-07 -> CAP-4.2,Abstraction
REL:achieves:OA-07->CAP-4.3,achieves,Achieves,OA-07,CAP-4.3,achieves: OA-07 -> CAP-4.3,Abstraction
REL:achieves:OA-08->CAP-4.4,achieves,Achieves,OA-08,CAP-4.4,achieves: OA-08 -> CAP-4.4,Abstraction
REL:achieves:OA-09->CAP-4.5,achieves,Achieves,OA-09,CAP-4.5,achieves: OA-09 -> CAP-4.5,Abstraction
REL:achieves:OA-10->CAP-4.6,achieves,Achieves,OA-10,CAP-4.6,achieves: OA-10 -> CAP-4.6,Abstraction
REL:achieves:OA-11->CAP-5.1,achieves,Achieves,OA-11,CAP-5.1,achieves: OA-11 -> CAP-5.1,Abstraction
REL:achieves:OA-11->CAP-5.3,achieves,Achieves,OA-11,CAP-5.3,achieves: OA-11 -> CAP-5.3,Abstraction
REL:achieves:OA-12->CAP-1.3,achieves,Achieves,OA-12,CAP-1.3,achieves: OA-12 -> CAP-1.3,Abstraction
